match_id,innings_number,powerplay_type,from_over,to_over
1200428,2,mandatory,0.1,5.8
1201668,1,mandatory,0.1,5.8
1201668,2,mandatory,0.1,5.7
1201669,1,mandatory,0.1,5.6
1201669,2,mandatory,0.1,5.8
1201670,1,mandatory,0.1,5.6
1201670,2,mandatory,0.1,5.7
1201671,1,mandatory,0.1,5.6
1201671,2,mandatory,0.1,5.6
1201673,1,mandatory,0.1,5.6
1201673,2,mandatory,0.1,5.6
1201680,1,mandatory,0.1,5.7
1201680,2,mandatory,0.1,5.6
1201681,1,mandatory,0.1,5.6
1201681,2,mandatory,0.1,5.6
1201682,1,mandatory,0.1,4.6
1201682,2,mandatory,0.1,4.7
1201683,1,mandatory,0.1,5.6
1201683,2,mandatory,0.1,5.6
1201685,1,mandatory,0.1,5.6
1201685,2,mandatory,0.1,5.6
1202007,1,mandatory,0.1,5.6
1202007,2,mandatory,0.1,5.7
1202008,1,mandatory,0.1,5.6
1202008,2,mandatory,0.1,5.8
1202009,1,mandatory,0.1,5.8
1202009,2,mandatory,0.1,5.7
1202010,1,mandatory,0.1,5.8
1202010,2,mandatory,0.1,5.6
1202011,1,mandatory,0.1,5.6
1202011,2,mandatory,0.1,5.6
1202243,1,mandatory,0.1,5.6
1202243,2,mandatory,0.1,5.6
1202244,1,mandatory,0.1,5.6
1202244,2,mandatory,0.1,5.7
1203676,1,mandatory,0.1,5.7
1203676,2,mandatory,0.1,5.6
1203677,1,mandatory,0.1,5.6
1203677,2,mandatory,0.1,2.1
1203678,1,mandatory,0.1,5.6
1203678,2,mandatory,0.1,5.6
1207081,1,mandatory,0.1,5.6
1207081,2,mandatory,0.1,5.6
1207082,1,mandatory,0.1,5.6
1207082,2,mandatory,0.1,5.6
1208606,1,mandatory,0.1,5.6
1208606,2,mandatory,0.1,5.7
1208609,1,mandatory,0.1,5.6
1208609,2,mandatory,0.1,5.6
1208612,1,mandatory,0.1,5.6
1208612,2,mandatory,0.1,5.6
1208613,1,mandatory,0.1,5.6
1208613,2,mandatory,0.1,5.6
1213058,1,mandatory,0.1,5.6
1213058,2,mandatory,0.1,5.6
1213059,1,mandatory,0.1,5.6
1213059,2,mandatory,0.1,5.7
1213874,1,mandatory,0.1,5.6
1213874,2,mandatory,0.1,5.8
1213875,1,mandatory,0.1,5.6
1213875,2,mandatory,0.1,5.6
1214670,1,mandatory,0.1,5.6
1214670,2,mandatory,0.1,5.7
