match_id,team
1199536,Papua New Guinea
1199537,Hong Kong
1199537,Nigeria
1199538,Jersey
1199538,Oman
1199539,Netherlands
1199539,Scotland
1199540,United Arab Emirates
1199540,Canada
1199541,United Arab Emirates
1199541,Netherlands
1199542,Namibia
1199542,Oman
1199543,United Arab Emirates
1199543,Scotland
1199544,Hong Kong
1199544,Oman
1199545,Oman
1199545,Scotland
1199546,Ireland
1199546,Netherlands
1199547,Namibia
1199547,Papua New Guinea
1199548,Ireland
1199548,Namibia
1199549,Netherlands
1199549,Papua New Guinea
1200425,Netherlands
1200425,Scotland
1200426,Ireland
1200426,Scotland
1200427,Ireland
1200427,Netherlands
1200428,Netherlands
1200428,Scotland
1201668,Spain
1201668,Portugal
1201669,Gibraltar
1201669,Portugal
1201670,Spain
1201670,Gibraltar
1201671,Spain
1201671,Portugal
1201673,Spain
1201673,Gibraltar
1201680,Nepal
1201680,Zimbabwe
1201681,Singapore
1201681,Nepal
1201682,Singapore
1201682,Zimbabwe
1201683,Nepal
1201683,Zimbabwe
1201685,Singapore
1201685,Zimbabwe
1202007,Malaysia
1202007,Vanuatu
1202008,Malaysia
1202008,Vanuatu
1202009,Malaysia
1202009,Vanuatu
1202010,Malaysia
1202010,Vanuatu
1202011,Malaysia
1202011,Vanuatu
1202243,India
1202243,Sri Lanka
1202244,India
1202244,Sri Lanka
1202252,West Indies
1202252,India
1202253,West Indies
1202253,India
1202254,West Indies
1202254,India
1202255,West Indies
1202255,India
1202256,West Indies
1202256,India
1202366,India
1202366,South Africa
1203676,West Indies
1203676,Ireland
1203677,West Indies
1203677,Ireland
1203678,West Indies
1203678,Ireland
1204726,Pakistan
1204726,Bangladesh
1207081,Spain
1207081,Germany
1207082,Spain
1207082,Germany
1208347,England
1208347,Pakistan
1208348,England
1208348,Pakistan
1208349,England
1208349,Pakistan
1208606,Nepal
1208606,Bhutan
1208609,Nepal
1208609,Maldives
1208612,Bhutan
1208612,Maldives
1208613,Nepal
1208613,Maldives
1208804,Nepal
1208804,Maldives
1208806,Nepal
1208806,Bangladesh
1208808,Bangladesh
1208808,Maldives
1208810,Nepal
1208810,Maldives
1213058,Pakistan
1213058,Bangladesh
1213059,Pakistan
1213059,Bangladesh
1213874,Sri Lanka
1213874,West Indies
1213875,Sri Lanka
1213875,West Indies
1214670,Bangladesh
1214670,Zimbabwe
1214671,Bangladesh
1214671,Zimbabwe
1214763,Oman
1214763,Germany
1214764,Oman
1214764,Germany
1214765,Oman
1214765,Germany
1214766,Oman
1214766,Germany
1215136,Malaysia
1215136,Hong Kong
1215137,Malaysia
1215137,Hong Kong
1215138,Malaysia
1215138,Hong Kong
1215139,Malaysia
1215139,Hong Kong
1215140,Malaysia
1215140,Hong Kong
1215159,Oman
1215159,Maldives
1215160,Saudi Arabia
1215160,United Arab Emirates
1215161,Bahrain
1215161,Qatar
1215162,Iran
1215162,Kuwait
1215163,Kuwait
1215163,Bahrain
1215164,Qatar
1215164,United Arab Emirates
1215165,Kuwait
1215165,United Arab Emirates
1217738,Thailand
1217738,Singapore
1217740,Hong Kong
1217740,Nepal
1217741,Thailand
1217741,Malaysia
1217742,Malaysia
1217742,Singapore
1217743,Thailand
1217743,Hong Kong
1217744,Thailand
1217744,Nepal
1217745,Hong Kong
1217745,Singapore
1217747,Hong Kong
1217747,Malaysia
1223941,Australia
1223941,New Zealand
1223942,New Zealand
1223942,Australia
1223943,Australia
1223943,New Zealand
1223952,India
1223952,Australia
1223953,Australia
1223953,India
1223954,Australia
1223954,India
1229204,Germany
1229204,Austria
1229205,Germany
1229205,Austria
1229206,Austria
1229206,Germany
1229207,Germany
1229207,Austria
1229208,Germany
1229208,Austria
1229820,Belgium
1229820,Luxembourg
1229822,Belgium
1229822,Czech Republic
1229823,Belgium
1229823,Luxembourg
1229824,Isle of Man
1229824,Guernsey
1230855,England
1230855,West Indies
1230856,England
1230856,West Indies
1230857,England
1230857,West Indies
1230858,England
1230858,West Indies
1230859,West Indies
1230859,England
1233464,Zimbabwe
1233464,Pakistan
1233465,Zimbabwe
1233465,Pakistan
1233466,Zimbabwe
1233466,Pakistan
1233954,West Indies
1233954,New Zealand
1233955,New Zealand
1233955,West Indies
1233956,West Indies
1233956,New Zealand
1233959,Pakistan
1233959,New Zealand
1233960,Pakistan
1233960,New Zealand
1233961,New Zealand
1233961,Pakistan
1233971,New Zealand
1233971,Australia
1233972,New Zealand
1233972,Australia
1233973,Australia
1233973,New Zealand
1233974,Australia
1233974,New Zealand
1233975,Australia
1233975,New Zealand
1233979,New Zealand
1233979,Bangladesh
1233980,New Zealand
1233980,Bangladesh
1233981,New Zealand
1233981,Bangladesh
1235829,Bulgaria
1235829,Romania
1235830,Romania
1235830,Bulgaria
